,accuracy,precision,recall,f1_score,auc
BERT,0.995260663507109,0.9947368421052631,1.0,0.9973614775725593,0.9963924963924964
Random Forest,0.9052132701421801,0.9043062200956937,1.0,0.949748743718593,0.6705146705146705
Logistic Regression,0.9004739336492891,0.9038461538461539,0.9947089947089947,0.947103274559194,0.7210197210197209
SVM,0.4549763033175355,1.0,0.3915343915343915,0.5627376425855514,0.693121693121693
